OTU NNgenome identity
embed9616 rus 99.3
embed14924 rus 99.3
embed11772 rus 99.3
embed15713 rus 99.3
embed14235 rus 99.3
embed16626 rus 99.3
embed21007 rus 99.3
embed10893 rus 99.3
embed15714 rus 99.3
embed21008 rus 99.3
embed23755 rus 99.3
embed18827 rus 99.3
embed373 rch 97.1
embed26148 rch 97.1
embed20213 rch 97.1
embed7086 bad 99.3
embed6975 rus 99.3
embed2145 rch 100
embed13327 rch 99.3
embed9204 rch 98.6
embed17617 rus 99.3
embed16162 rus 99.3
embed26149 rus 99.3
embed7841 rch 97.1
embed3434 rch 97.1
embed7195 rus 99.3
embed15715 rus 99.3
embed4990 nmd 97.1
embed15926 pecq 99.3
embed24288 pdx 97.1
embed5701 pdx 97.9
embed10715 rus 99.3
embed16627 rus 99.3
embed5758 pecq 100
embed26152 rus 99.3
embed12254 rus 99.3
embed12018 rus 99.3
embed13017 rus 99.3
embed10988 scf 99.3
embed24887 ruk 98.6
embed8265 ssah 99.3
embed22262 lac 99.3
embed25477 ecas 99.3
embed14578 rus 99.3
embed10894 rus 99.3
embed16375 fma 99.3
embed18834 rmu 98.6
embed9078 rmu 98.6
embed18193 rmu 99.3
embed13330 cke 99.3
embed7488 arl 99.3
embed23764 ach 97.1
embed14926 aai 99.3
embed19496 ach 98.6
embed6125 arm 100
embed3011 era 99.3
embed1728 ach 100
embed17620 aaq 98.6
embed4473 nae 98.6
embed20216 aaq 97.9
embed3341 nae 99.3
embed11543 apn 98.6
embed6851 aau 100
embed17621 kfv 97.9
embed9881 kfv 99.3
embed2697 kpl 97.9
embed19824 fhw 97.1
embed12746 mim 100
embed23765 nae 97.9
embed2418 gva 100
embed2203 gvg 100
embed8511 bfa 99.3
embed5092 bad 99.3
embed14579 bcat 99.3
embed12747 arl 100
embed2758 aai 100
embed26166 gva 98.6
embed583 bbf 100
embed16163 aos 99.3
embed2864 scz 100
embed13611 sve 100
embed15316 scz 99.3
embed23766 salb 98.6
embed2449 salb 100
embed13913 sals 100
embed24888 scw 97.9
embed21827 bcv 97.9
embed26167 kpl 99.3
embed13612 cub 97.9
embed24889 iva 99.3
embed10895 bcv 98.6
embed26168 bcv 97.9
embed4706 cfi 98.6
embed12495 cfi 100
embed10373 cfi 98.6
embed12749 bcv 97.9
embed14928 bcv 99.3
embed11773 cfi 97.1
embed17128 bcv 97.9
embed18194 bcv 97.1
embed14929 cfi 99.3
embed2889 kfv 100
embed23767 kfv 97.9
embed1350 kpl 100
embed1049 krh 100
embed5420 kpl 99.3
embed22736 kpl 99.3
embed26169 kpl 99.3
embed23768 cfi 97.9
embed3409 ske 99.3
embed8316 ske 100
embed2980 iva 97.9
embed18836 bfa 98.6
embed5421 bfa 99.3
embed1131 bfa 100
embed2674 dva 100
embed1873 dva 98.6
embed20217 rmu 98.6
embed15317 rmu 98.6
embed10544 rmu 98.6
embed5455 rmu 98.6
embed10545 rmu 99.3
embed12255 rmu 98.6
embed5126 rmu 98.6
embed14580 rmu 99.3
embed11774 kfv 97.1
embed15719 kpl 97.1
embed5456 nae 97.9
embed6662 nae 98.6
embed13332 kpl 98.6
embed24890 kpl 97.9
embed23769 kpl 97.9
embed8026 kpl 97.1
embed7842 rmu 98.6
embed3881 rmu 98.6
embed9882 rmu 99.3
embed22738 rmu 98.6
embed7843 rmu 98.6
embed18839 rmu 99.3
embed14238 rmu 98.6
embed15720 rmu 98.6
embed8426 rmu 98.6
embed18196 rmu 99.3
embed21829 rmu 98.6
embed13915 rmu 98.6
embed22739 rmu 99.3
embed10202 ckp 99.3
embed14930 clw 99.3
embed21830 caz 97.1
embed9753 cuv 99.3
embed16629 rmu 98.6
embed8120 rmu 98.6
embed13333 rmu 99.3
embed7927 cax 97.1
embed2538 rus 99.3
embed18840 rmu 98.6
embed8027 rmu 98.6
embed15721 rmu 99.3
embed21017 rmu 98.6
embed9206 rmu 98.6
embed17623 rmu 99.3
embed22740 rmu 98.6
embed10203 rmu 98.6
embed20220 rmu 99.3
embed11775 rmu 98.6
embed24891 rmu 99.3
embed17624 rmu 98.6
embed8318 rmu 98.6
embed19499 rmu 99.3
embed16164 rmu 98.6
embed7268 rmu 98.6
embed13916 rmu 99.3
embed23770 rmu 98.6
embed21831 rmu 98.6
embed7928 rmu 98.6
embed3680 rmu 98.6
embed7489 rmu 99.3
embed26170 rmu 98.6
embed18841 aos 99.3
embed2698 aos 98.6
embed692 aos 100
embed1317 aos 99.3
embed11544 strf 100
embed10204 sals 99.3
embed13917 rmu 98.6
embed7844 rmu 98.6
embed17625 rmu 99.3
embed13020 tpy 100
embed10036 rmu 98.6
embed5063 rmu 98.6
embed9883 rmu 99.3
embed12256 rmu 98.6
embed16630 rmu 98.6
embed26172 rmu 99.3
embed22741 rmu 98.6
embed9884 rmu 98.6
embed21018 rmu 99.3
embed26173 rmu 98.6
embed13335 rmu 98.6
embed7569 rmu 98.6
embed3622 rmu 98.6
embed8742 rmu 99.3
embed12751 rmu 98.6
embed6597 rmu 98.6
embed13918 rmu 99.3
embed9207 rmu 98.6
embed4474 rmu 98.6
embed9885 rmu 99.3
embed1001 rdn 97.9
embed644 rdn 100
embed16165 rmu 98.6
embed9886 rmu 98.6
embed4294 rmu 98.6
embed9887 rmu 99.3
embed15318 rmu 98.6
embed6003 rmu 98.6
embed13336 rmu 99.3
embed9348 rmu 98.6
embed21832 rmu 99.3
embed9079 rmu 98.6
embed4355 rmu 98.6
embed9208 rmu 99.3
embed8852 rmu 98.6
embed4583 rmu 98.6
embed9209 rmu 99.3
embed23771 rmu 98.6
embed16166 rmu 98.6
embed7929 rmu 98.6
embed3989 rmu 98.6
embed7930 rmu 99.3
embed22742 rmu 98.6
embed11545 rmu 98.6
embed20221 rmu 99.3
embed7661 rmu 98.6
embed3794 rmu 98.6
embed8121 rmu 99.3
embed14239 rmu 98.6
embed15722 rmu 97.9
embed12257 rmu 98.6
embed17626 rmu 99.3
embed5340 kpl 97.9
embed15723 rmu 98.6
embed7197 rmu 98.6
embed14240 rmu 99.3
embed12497 rmu 98.6
embed11102 rmu 98.6
embed22743 rmu 98.6
embed2526 rmu 98.6
embed8427 rmu 98.6
embed11103 rmu 98.6
embed16631 rmu 98.6
embed14241 rmu 98.6
embed9493 rmu 98.6
embed13021 rmu 98.6
embed9888 rmu 98.6
embed10037 rmu 98.6
embed9494 rmu 98.6
embed7124 rmu 98.6
embed4980 rmu 98.6
embed15724 rmu 98.6
embed14242 rmu 98.6
embed7339 rmu 98.6
embed23773 rmu 98.6
embed18842 rmu 98.6
embed14243 rmu 98.6
embed17129 rmu 98.6
embed19500 rmu 98.6
embed480 rmu 99.3
embed4944 rmu 98.6
embed14581 rmu 98.6
embed5816 rmu 98.6
embed26174 rmu 98.6
embed8973 rmu 98.6
embed21833 rmu 98.6
embed17627 rmu 98.6
embed26175 rmu 98.6
embed5502 rmu 98.6
embed9754 rmu 98.6
embed16632 rmu 98.6
embed8853 rmu 98.6
embed8028 rmu 98.6
embed21834 rmu 98.6
embed24892 rmu 98.6
embed7340 rmu 98.6
embed13337 rmu 98.6
embed12498 rmu 98.6
embed10038 rmu 98.6
embed6908 rmu 98.6
embed17130 rmu 98.6
embed15319 rmu 97.9
embed8029 rmu 98.6
embed23774 rmu 98.6
embed5859 rmu 98.6
embed9080 rmu 98.6
embed18843 rmu 98.6
embed17131 rmu 98.6
embed14931 rmu 98.6
embed23775 rmu 98.6
embed10546 rmu 98.6
embed12499 rmu 98.6
embed13613 rmu 99.3
embed14932 rmu 98.6
embed21835 rmu 99.3
embed5035 rmu 98.6
embed10039 rmu 99.3
embed12020 rmu 98.6
embed18197 rmu 99.3
embed12258 rmu 98.6
embed3724 rmu 98.6
embed4531 rmu 98.6
embed22744 rmu 98.6
embed7269 rmu 98.6
embed7570 rmu 98.6
embed22745 rmu 98.6
embed4945 rmu 98.6
embed5379 rmu 98.6
embed11305 rmu 98.6
embed17628 rmu 98.6
embed5064 rmu 98.6
embed4141 rmu 98.6
embed11776 rmu 98.6
embed11104 rmu 98.6
embed14933 rmu 98.6
embed4656 rmu 98.6
embed3268 rmu 98.6
embed2789 rmu 98.6
embed6351 rmu 98.6
embed14244 rmu 98.6
embed13919 rmu 98.6
embed19501 rmu 98.6
embed20222 rmu 98.6
embed6536 rmu 98.6
embed22746 rmu 98.6
embed21836 rmu 98.6
embed3410 rmu 98.6
embed6726 rmu 98.6
embed12021 rmu 98.6
embed21837 rmu 98.6
embed21019 rmu 98.6
embed6126 rmu 98.6
embed8513 rmu 98.6
embed11777 rmu 98.6
embed13022 rmu 98.6
embed13920 rmu 98.6
embed26176 rmu 98.6
embed299 rmu 99.3
embed9495 rmu 98.6
embed2590 rmu 98.6
embed8514 rmu 98.6
embed8743 rmu 98.6
embed2476 rmu 98.6
embed12500 rmu 98.6
embed23776 rmu 98.6
embed17132 rmu 98.6
embed18198 rmu 98.6
embed4356 rmu 98.6
embed13921 rmu 98.6
embed10040 rmu 98.6
embed8319 rmu 98.6
embed21020 rmu 98.6
embed13338 rmu 98.6
embed2675 rmu 98.6
embed21838 rmu 98.6
embed16633 rmu 98.6
embed4042 rmu 98.6
embed19502 rmu 98.6
embed7845 rmu 98.6
embed4584 rmu 98.6
embed4387 rmu 98.6
embed9496 rmu 98.6
embed13339 rmu 98.6
embed14582 rmu 98.6
embed3411 rmu 98.6
embed11778 rmu 98.6
embed20223 rmu 98.6
embed17629 rmu 98.6
embed21021 rmu 98.6
embed5860 rmu 98.6
embed6088 rmu 98.6
embed4981 rmu 98.6
embed14934 rmu 98.6
embed3745 rmu 98.6
embed10547 rmu 98.6
embed10041 rmu 97.9
embed4744 rmu 98.6
embed16634 rmu 97.1
embed17133 rmu 97.9
embed13922 rmu 98.6
embed2933 rmu 98.6
embed4770 rmu 98.6
embed7931 rmu 98.6
embed11105 rmu 98.6
embed8974 rmu 98.6
embed6853 rmu 98.6
embed11779 rmu 98.6
embed24893 rmu 99.3
embed8630 rmu 99.3
embed12259 rmu 99.3
embed15320 rmu 97.2
embed18199 rmu 99.3
embed16635 rmu 99.3
embed10205 rmu 99.3
embed12022 rmu 99.3
embed22747 rmu 99.3
embed11106 rmu 99.3
embed10548 rmu 99.3
embed21022 rmu 99.3
embed21023 rmu 99.3
embed26177 rmu 99.3
embed11780 rmu 99.3
embed7047 rmu 99.3
embed6127 rmu 99.3
embed15725 rmu 99.3
embed26178 rmu 99.3
embed24894 rmu 99.3
embed13340 rmu 99.3
embed7932 rmu 99.3
embed15726 rmu 99.3
embed14245 rmu 99.3
embed21024 rmu 99.3
embed21839 rmu 99.3
embed515 rmu 100
embed15321 rmu 99.3
embed5584 rmu 99.3
embed26179 rmu 99.3
embed22748 rmu 99.3
embed10042 rmu 99.3
embed21025 rmu 99.3
embed21026 rmu 99.3
embed6089 rmu 99.3
embed20224 rmu 99.3
embed8221 rmu 99.3
embed16167 rmu 99.3
embed10043 rmu 99.3
embed10374 rmu 99.3
embed20225 rmu 99.3
embed7662 rmu 99.3
embed17134 rmu 99.3
embed13023 rmu 99.3
embed13024 rmu 99.3
embed11107 rmu 99.3
embed9755 rmu 99.3
embed24895 rmu 98.6
embed11781 rmu 99.3
embed7048 rmu 99.3
embed12023 rmu 99.3
embed18200 rmu 99.3
embed13923 rmu 99.3
embed15727 rmu 99.3
embed16168 rmu 98.6
embed4532 rmu 98.6
embed9889 rmu 99.3
embed7846 rmu 98.6
embed14583 rmu 99.3
embed21840 rmu 98.6
embed23777 rmu 99.3
embed21027 rmu 98.6
embed12260 rmu 98.6
embed6792 rmu 98.6
embed13025 rmu 99.3
embed16169 rmu 98.6
embed12261 rmu 98.6
embed21028 rmu 99.3
embed18201 rmu 98.6
embed12024 rmu 98.6
embed16636 rmu 99.3
embed11782 rmu 98.6
embed6352 rmu 98.6
embed11546 rmu 99.3
embed13614 rmu 98.6
embed5861 rmu 98.6
embed14246 rmu 99.3
embed5009 rmu 98.6
embed2397 rmu 98.6
embed5675 rmu 99.3
embed17630 rmu 98.6
embed24896 rmu 99.3
embed11547 rmu 98.6
embed4909 rmu 98.6
embed13615 rmu 99.3
embed5676 rmu 98.6
embed2950 rmu 98.6
embed7571 rmu 99.3
embed19503 rmu 98.6
embed7490 rmu 98.6
embed15322 rmu 99.3
embed5862 rmu 98.6
embed3069 rmu 98.6
embed7572 rmu 99.3
embed13341 rmu 98.6
embed19504 rmu 98.6
embed23778 rmu 99.3
embed11108 rmu 98.6
embed23779 rmu 99.3
embed19505 rmu 98.6
embed21841 rmu 98.6
embed7491 rmu 98.6
embed16170 rmu 99.3
embed10044 rmu 97.2
embed13342 rmu 98.6
embed5457 rmu 98.6
embed13924 rmu 99.3
embed16637 rmu 98.6
embed8975 rmu 98.6
embed17631 rmu 99.3
embed24897 rmu 98.6
embed20226 rmu 98.6
embed26180 rmu 99.3
embed9081 rmu 98.6
embed4357 rmu 98.6
embed9890 rmu 99.3
embed21029 rmu 98.6
embed13925 rmu 98.6
embed21842 rmu 99.3
embed5292 rmu 98.6
embed2517 rmu 98.6
embed5093 rmu 99.3
embed12262 amy 97.9
embed26181 amy 97.1
embed12752 asg 98.6
embed11783 amy 97.1
embed3523 amy 97.1
embed2363 amy 97.1
embed14584 amy 97.1
embed6190 asg 100
embed1595 amy 97.1
embed26182 amy 97.9
embed5422 amy 97.1
embed24898 amy 97.9
embed22749 amy 97.9
embed4295 amy 97.9
embed19506 amy 97.9
embed26183 amy 97.9
embed21843 amy 97.9
embed15323 amy 97.9
embed220 amy 98.6
embed9756 amy 97.9
embed14247 amy 97.9
embed21030 amy 97.9
embed5458 amy 99.3
embed19507 amy 97.9
embed24899 amy 97.9
embed23780 amy 97.1
embed7198 amy 97.1
embed24900 amy 97.1
embed21031 amy 97.1
embed501 amy 97.9
embed18202 amy 97.1
embed22750 amy 98.6
embed24901 amy 97.1
embed21844 amy 97.9
embed26184 amy 97.9
embed11784 amy 100
embed23781 amy 97.9
embed24902 amy 97.1
embed21845 rmu 98.6
embed10717 rmu 98.6
embed17136 rmu 99.3
embed4533 rmu 98.6
embed2499 rmu 98.6
embed5776 rmu 99.3
embed16638 rmu 98.6
embed21032 rmu 99.3
embed8854 rmu 98.6
embed4797 rmu 98.6
embed9349 rmu 99.3
embed14585 rmu 98.6
embed24903 rmu 99.3
embed12753 rmu 98.6
embed6004 rmu 98.6
embed13026 rmu 99.3
embed4442 acq 97.9
embed24904 rmu 98.6
embed11785 rmu 98.6
embed21033 rmu 99.3
embed17137 amy 97.9
embed17632 rmu 98.6
embed7663 rmu 98.6
embed17633 rmu 99.3
embed21846 rmu 98.6
embed10549 rmu 98.6
embed18845 rmu 98.6
embed21034 rmu 98.6
embed21847 rmu 99.3
embed24905 rmu 98.6
embed12263 rmu 98.6
embed24906 rmu 99.3
embed17138 rmu 98.6
embed21848 rmu 99.3
embed7049 rmu 98.6
embed3524 rmu 98.6
embed7933 rmu 99.3
embed9082 mcu 98.6
embed962 mcu 100
embed7664 rmu 98.6
embed3604 rmu 98.6
embed8222 rmu 99.3
embed20228 amy 97.9
embed8977 rmu 98.6
embed4043 rmu 98.6
embed10375 rmu 99.3
embed16171 rmu 98.6
embed18204 rmu 98.6
embed7270 rmu 98.6
embed16639 rmu 99.3
embed21035 rmu 98.6
embed9210 rmu 98.6
embed12754 amy 97.1
embed14935 rmu 98.6
embed8223 rmu 98.6
embed18205 rmu 99.3
embed24907 rmu 98.6
embed10897 rmu 98.6
embed17139 rmu 99.3
embed7125 rmu 98.6
embed3903 rmu 98.6
embed8631 rmu 99.3
embed18206 rmu 98.6
embed6537 rmu 98.6
embed16640 rmu 99.3
embed15728 bprl 99.3
embed1676 elm 100
embed14586 bprl 99.3
embed24912 bprl 99.3
embed24913 bprl 99.3
embed4249 faa 100
embed5459 bprl 99.3
embed12755 bprl 99.3
embed11306 bprl 99.3
embed13926 bprl 98.6
embed4072 bprl 99.3
embed14253 bprl 99.3
embed6538 bprl 98.6
embed1503 bprl 99.3
embed17635 bprl 99.3
embed9083 bprl 99.3
embed18210 bprl 99.3
embed9213 bprl 99.3
embed5956 bprl 98.6
embed1393 bprl 99.3
embed22754 bprl 99.3
embed15326 bprl 98.6
embed10380 bprl 99.3
embed17142 bprl 99.3
embed21850 bprl 99.3
embed4585 bprl 98.6
embed20233 bprl 99.3
embed16643 bprl 99.3
embed23787 bprl 99.3
embed16173 bprl 99.3
embed21851 bprl 99.3
embed19511 bprl 99.3
embed2304 bprl 98.6
embed10381 bprl 99.3
embed23788 bprl 98.6
embed40 bprl 99.3
embed24917 bprl 98.6
embed7665 bprl 98.6
embed15327 bprl 99.3
embed8632 bprl 99.3
embed7 bprl 100
embed16174 bprl 99.3
embed13617 bprl 99.3
embed3746 bprl 99.3
embed22755 bprl 99.3
embed21041 bprl 99.3
embed15729 bprl 99.3
embed12265 bprl 99.3
embed12028 bprl 99.3
embed15328 bprl 99.3
embed14254 bprl 99.3
embed13346 bprl 99.3
embed15730 bprl 98.6
embed9497 bprl 99.3
embed26195 bprl 99.3
embed8855 bprl 99.3
embed8978 bprl 97.1
embed17143 bprl 99.3
embed8031 bprl 99.3
embed13618 bprl 98.6
embed4296 bprl 99.3
embed20234 bprl 98.6
embed13029 bprl 99.3
embed9214 bprl 99.3
embed10207 bprl 99.3
embed11549 bprl 99.3
embed14255 bprl 99.3
embed12266 bprl 99.3
embed20235 bprl 99.3
embed14587 bprl 99.3
embed24918 bprl 99.3
embed18211 bprl 99.3
embed16175 bprl 99.3
embed21042 bprl 99.3
embed22756 bprl 98.6
embed10720 bprl 99.3
embed14588 bprl 97.1
embed17144 bprl 98.6
embed7341 bprl 99.3
embed11307 bprl 99.3
embed18212 bprl 99.3
embed24919 bprl 99.3
embed21852 bprl 98.6
embed6728 bprl 99.3
embed23789 tur 98.6
embed20237 bprl 98.6
embed12756 bprl 99.3
embed21047 bprl 99.3
embed3882 apv 97.1
embed7848 apv 97.1
embed3915 apv 99.3
embed3681 apv 100
embed16645 apv 97.9
embed507 apv 98.6
embed24921 apv 97.9
embed21050 apv 97.9
embed11308 apv 97.9
embed26198 apv 97.9
embed19513 lacy 99.3
embed4831 rix 97.9
embed13034 byl 97.9
embed24934 byl 98.6
embed10210 byl 98.6
embed2967 byl 99.3
embed699 byl 100
embed16653 byl 99.3
embed277 byl 99.3
embed20244 byl 98.6
embed12131 pfz 99.3
embed22269 amu 99.3
embed20588 paeb 99.3
embed3317 bvu 99.3
embed6933 bdh 99.3
embed23214 bdh 99.3
embed18515 boa 99.3
embed17885 oni 98.6
embed5759 oni 100
embed9085 lacy 99.3
embed1649 lacy 98.6
embed139 lacy 100
embed2162 lacy 99.3
embed19525 lacy 97.9
embed12761 lacy 99.3
embed21881 lacy 97.1
embed13038 lacy 97.9
embed610 lacy 99.3
embed4044 lacy 97.1
embed11322 lacy 97.9
embed24961 csh 97.9
embed25490 raf 100
embed23217 pmib 99.3
embed7300 cfd 99.3
embed5702 eae 99.3
embed16378 caf 98.6
embed1010 eab 99.3
embed26278 cpy 99.3
embed23849 lacy 99.3
embed16379 ams 97.1
embed15933 mau 100
embed19136 mau 99.3
embed22273 vma 98.6
embed7161 actn 100
embed20591 actn 99.3
embed21902 bprl 99.3
embed25495 actn 98.6
embed24992 bprl 99.3
embed19137 nmd 97.1
embed19834 mau 99.3
embed17889 actn 97.9
embed16380 era 99.3
embed11331 paea 100
embed18262 pxl 98.6
embed25005 pxl 98.6
embed14617 pxl 99.3
embed2060 pxl 100
embed23860 vir 98.6
embed10395 vir 100
embed20287 vir 99.3
embed20288 vir 99.3
embed18889 gym 99.3
embed5781 gym 100
embed5548 gym 100
embed12279 gym 97.9
embed15353 gym 97.9
embed21079 tap 100
embed18265 lac 99.3
embed23863 cpor 97.9
embed12775 cpor 99.3
embed5818 cpor 98.6
embed3843 cpor 100
embed5682 cpor 97.1
embed17362 byl 98.6
embed18891 cpor 98.6
embed26300 cpor 97.9
embed21081 bprl 98.6
embed13951 bprl 99.3
embed20592 rmu 100
embed17674 bprl 99.3
embed22276 pfz 99.3
embed18517 nmd 97.1
embed8161 paeb 99.3
embed953 euu 100
embed12520 euu 99.3
embed5601 pfz 99.3
embed16381 smz 99.3
embed18266 olo 100
embed9218 ccu 100
embed25499 ajo 98.6
embed4476 gpa 99.3
embed916 gpa 100
embed18893 aeq 97.1
embed216 aeq 100
embed8162 amu 99.3
embed25020 rxy 97.1
embed21931 tto 97.9
embed12882 pfz 99.3
embed11202 amu 99.3
embed7612 pmz 99.3
embed22837 gwc 98.6
embed6738 gct 98.6
embed832 gct 99.3
embed25027 gmc 100
embed17176 gct 99.3
embed14964 vir 99.3
embed25028 gmc 97.9
embed2734 gea 100
embed21391 pje 98.6
embed23225 pfb 98.6
embed5518 pfz 99.3
embed24304 pfb 99.3
embed5070 cpor 97.9
embed7431 cpor 97.1
embed21091 cpor 99.3
embed8125 cpor 97.9
embed23226 ajo 98.6
embed19562 cdc 97.1
embed8916 amu 99.3
embed23227 pfb 98.6
embed22841 cdc 97.1
embed4302 cdc 100
embed13367 cdc 98.6
embed3370 pfz 99.3
embed16689 cdc 97.1
embed68 cdc 97.9
embed10917 cdc 97.1
embed16690 cdc 97.1
embed3776 cdc 98.6
embed21936 cdc 97.1
embed14626 cdc 97.1
embed25034 cdc 97.1
embed18521 pfb 99.3
embed26328 cdc 97.1
embed3845 cdc 97.1
embed7854 cdc 97.1
embed23228 ajo 99.3
embed17892 ajo 98.6
embed5186 amu 99.3
embed19140 pfz 99.3
embed22280 amu 99.3
embed18911 bprl 98.6
embed6739 bprl 99.3
embed6449 amu 99.3
embed25041 cke 99.3
embed14629 bad 99.3
embed3414 blin 100
embed7856 nmd 97.1
embed13369 cbq 99.3
embed18912 ckp 99.3
embed26337 cuv 99.3
embed612 bvu 99.3
embed17690 cax 97.1
embed22849 cax 97.1
embed12783 bly 99.3
embed1765 bly 100
embed8864 rpf 100
embed8329 rin 100
embed1221 bdh 99.3
embed25042 mab 97.1
embed20309 mjl 99.3
embed10565 mab 97.1
embed10217 mab 99.3
embed10918 mva 100
embed13370 mva 99.3
embed8126 mab 100
embed8228 mab 99.3
embed7133 mab 99.3
embed16216 nal 98.6
embed17691 nal 99.3
embed23900 nal 99.3
embed26338 nal 99.3
embed13653 nal 99.3
embed8985 nal 100
embed13371 aer 99.3
embed22851 kfl 100
embed25043 aer 97.1
embed3927 bdh 99.3
embed21946 aer 99.3
embed13654 ndk 97.1
embed16695 aer 98.6
embed5095 aer 100
embed11125 aer 99.3
embed26339 bad 99.3
embed2574 boa 99.3
embed16696 bad 99.3
embed1182 sox 100
embed13655 ajs 97.9
embed6980 bad 99.3
embed21098 bcat 99.3
embed14631 bad 99.3
embed22852 cke 99.3
embed19573 cke 99.3
embed23901 cke 99.3
embed22853 cke 99.3
embed21099 cke 99.3
embed23902 cke 99.3
embed19574 cke 99.3
embed17692 cke 99.3
embed20313 cke 99.3
embed26340 kki 97.1
embed26341 nwe 97.1
embed11807 nel 99.3
embed2390 nmd 97.1
embed23903 nel 98.6
embed6132 mfa 100
embed13052 nmd 97.9
embed26342 cke 99.3
embed19575 cke 99.3
embed19576 cke 99.3
embed13656 miu 99.3
embed8229 miu 98.6
embed13962 miu 97.1
embed9359 cke 99.3
embed25045 ctt 99.3
embed11572 aaa 98.6
embed9509 aaa 97.9
embed10566 vap 100
embed22855 bfn 100
embed15125 pfb 98.6
embed26343 pbh 97.1
embed25046 miu 97.9
embed19577 ajs 97.1
embed14278 cke 99.3
embed3868 ajs 99.3
embed12784 aaa 97.9
embed26344 aaa 100
embed6133 aaa 99.3
embed26345 rhy 98.6
embed23231 mcat 99.3
embed16697 aaa 97.9
embed5162 aaa 97.9
embed21948 vap 98.6
embed1386 acra 99.3
embed9360 acra 98.6
embed4913 acra 100
embed10739 vaa 100
embed12044 pkt 100
embed3397 pkt 99.3
embed16698 rdp 100
embed3612 pfz 99.3
embed11808 miu 100
embed15770 miu 98.6
embed11126 lih 99.3
embed16218 lih 100
embed7276 ack 98.6
embed15771 aaa 98.6
embed6430 del 100
embed18277 hse 97.9
embed21949 ack 97.1
embed5819 vpe 100
embed16382 pfb 99.3
embed4252 pol 99.3
embed13657 har 100
embed6097 axy 100
embed1757 ais 100
embed2109 adt 100
embed21101 amim 98.6
embed25047 aka 98.6
embed19578 aka 99.3
embed11573 aka 99.3
embed21102 bbh 99.3
embed18278 cke 99.3
embed18917 pbh 97.9
embed10569 hse 99.3
embed22856 rin 97.9
embed3990 rin 98.6
embed8330 hse 99.3
embed16219 hse 98.6
embed2248 cfu 97.9
embed1494 hrb 100
embed12282 cke 99.3
embed16220 cke 99.3
embed13373 cke 99.3
embed21105 cke 98.6
embed4222 cke 99.3
embed15772 cke 98.6
embed22857 cke 99.3
embed17694 cke 99.3
embed15364 cke 99.3
embed10742 cke 99.3
embed13054 cke 99.3
embed21955 ctt 99.3
embed12283 cke 99.3
embed13055 cke 99.3
embed18279 cke 99.3
embed21106 cke 99.3
embed11574 cke 99.3
embed9223 cke 99.3
embed16700 cke 99.3
embed12785 cke 99.3
embed8331 cke 99.3
embed16221 cke 98.6
embed18918 cke 99.3
embed14280 cke 99.3
embed21107 cke 99.3
embed7352 cke 99.3
embed11810 cke 99.3
embed12284 cke 99.3
embed10218 cke 99.3
embed13056 cke 98.6
embed16701 cke 99.3
embed1702 cke 100
embed2592 cke 99.3
embed16222 cke 99.3
embed26348 cke 99.3
embed26349 cke 99.3
embed18919 cke 99.3
embed7857 cke 99.3
embed18280 cke 99.3
embed14975 cke 99.3
embed22858 cke 99.3
embed25049 cke 99.3
embed14976 cke 99.3
embed14635 ajs 99.3
embed10919 cke 99.3
embed14281 ajs 99.3
embed1838 ajs 100
embed8127 cke 99.3
embed10219 cke 98.6
embed23907 cke 99.3
embed12045 cke 99.3
embed12046 cke 99.3
embed21108 cke 98.6
embed18281 cke 99.3
embed22859 cke 99.3
embed23908 cke 99.3
embed12285 cke 99.3
embed11127 cke 99.3
embed5256 cke 99.3
embed10220 cke 98.6
embed9362 cke 99.3
embed9363 cke 99.3
embed22860 cke 99.3
embed12528 cke 99.3
embed8865 cke 99.3
embed8525 cke 99.3
embed25050 cke 99.3
embed13963 cke 99.3
embed10743 cke 99.3
embed17695 cke 99.3
embed15365 cke 99.3
embed21956 cke 99.3
embed25051 cke 99.3
embed13964 cke 99.3
embed10570 cke 99.3
embed9364 cke 99.3
embed9768 ajs 97.9
embed20316 cke 99.3
embed25052 cke 98.6
embed11128 cbab 97.9
embed18920 hyr 100
embed11575 cke 99.3
embed22861 ctes 99.3
embed13659 ctt 99.3
embed26350 ctt 99.3
embed25053 ctt 99.3
embed2613 ctes 100
embed14977 ctt 99.3
embed26351 ctt 99.3
embed2747 ctt 100
embed20317 ctt 99.3
embed5959 ctt 99.3
embed16223 ctt 99.3
embed22862 ctes 98.6
embed19579 ctes 99.3
embed11342 ctt 99.3
embed23909 ctt 98.6
embed22863 ctt 99.3
embed21957 ctt 99.3
embed25054 cke 99.3
embed22864 ctt 99.3
embed20318 ctt 99.3
embed12786 cke 99.3
embed26353 cke 99.3
embed15773 cke 99.3
embed9510 cke 99.3
embed15774 cke 99.3
embed22865 meh 99.3
embed3170 jag 97.1
embed1988 jag 98.6
embed3225 masw 100
embed18921 masw 99.3
embed2039 jag 100
embed14978 jag 98.6
embed21958 mnr 97.9
embed1878 jag 97.1
embed16224 mnr 98.6
embed7498 mnr 97.1
embed11129 cke 99.3
embed17696 cke 99.3
embed6910 cke 99.3
embed11577 cke 98.6
embed23911 ctes 99.3
embed14282 ctt 99.3
embed18282 cke 99.3
embed10222 cke 99.3
embed19582 cke 99.3
embed22866 cke 99.3
embed5426 afa 100
embed18922 afa 99.3
embed10400 cke 99.3
embed21960 ctt 99.3
